word,frequency
congress,145
singh,47
jaishankar,9
narendra modi,33
lok sabha,67
kerala,17
india,284
rajya sabha,33
kumar,17
birla,11
supreme court,64
ec,13
israel,21
fir,11
jammu kashmir,16
india chandrachud,19
delhi,12
narendra,35
canada,16
rahul gandhi,19
mumbai,9
hamas,13
china,23
new delhi,26
gandhi,18
chandrachud,9
pakistan,9
